ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
288,2019-03-08T16:24:50+0100,2019-07-27T12:49:50+0200,140,synyx/urlaubsverwaltung,26,11,102,1515,0.2,0.6,67.2,21370.5,22280,22280,0.00121663641233357,0.000559570996786818,0.00457830244649664,290,491,285,491,1442.5,271683,80,1045,87,3.62847222222222,0.621428571428571,0,2,3,2,3
56,2019-04-30T23:49:43+0200,2019-07-05T13:20:10+0200,65,DoublesunRUS/ru.capralow.dt.unit.launcher,12,0,63,294,0.4,0,5.4,2643,2665,2665,0.00450281425891182,0,0.0236397748592871,369,1405,363,1405,987.5,2371,16,121,29,2.16071428571429,0.446153846153846,0,1,3,1,3
256,2018-09-28T15:03:19+0200,2019-07-30T08:59:07+0200,304,hmcts/bulk-scan-orchestrator,0,0,6,56.5,0.1,0,91.2,1595.5,2595,2595,0,0,0.00655105973025048,270,880,256,880,3354,1751406,237,1725,176,6.73828125,0.578947368421053,0,4,3,3,3
56,2019-06-28T04:47:34+0200,2019-07-29T04:01:54+0200,30,TradeTrust/document-renderer,0,0,1,5,0,0,88.3,519,519,519,0,0,0.00192678227360308,95.5,171,95,171,1096,265848,12,144,17,2.57142857142857,0.566666666666667,0,3,1,2,3
80,2019-05-29T09:03:45+0200,2019-07-29T08:27:37+0200,60,Lumenol/computer-database,22.5,2,59,500,0.1,1.7,18.7,16828,16828,16828,0.00136676966959829,0.000118849536486808,0.00350606132636083,162,350,161.5,350,3202.5,86480,16,216,57,2.7,0.95,0,1,2,3,4
184,2019-04-03T16:18:44+0200,2019-07-09T10:04:11+0200,96,anjo-hsr/Traffic-Analyzer,0,0,2,2,0,0,76.7,1914,4104,4104,0,0,0.00048780487804878,508,895,461,831,756,251371,152,1120,60,6.08695652173913,0.625,0,2,4,1,3
64,2019-03-30T00:06:43+0100,2019-07-27T01:15:58+0200,119,doppelganger9/babyfoot,0,0,9,23,0,0,77.4,1775,1790,1790,0,0,0.00507042253521127,212,525,212,525,3434,6999869,366,502,95,7.84375,0.798319327731092,0,2,2,3,4
64,2019-02-23T18:16:15+0100,2019-07-27T19:26:49+0200,154,doppelganger9/fruit-basket,0,0,0,0,0,0,100,87,87,87,0,0,0,150,381,149,381,19689,1139964,68,403,109,6.296875,0.707792207792208,0,4,2,4,3
336,2018-07-31T07:51:13+0200,2019-07-17T19:58:57+0200,351,osmlab/atlas-checks,3,3,119.5,1027,0.4,0,68.55,9015.5,9772,9772,0.000332765700613259,0.000329013669086397,0.0138760407030527,301,959,301,959,1742,41859,21,939,350,2.79464285714286,0.997150997150997,0,2,3,2,4
112,2018-09-29T10:39:27+0200,2019-07-19T14:10:19+0200,293,hmcts/ccd-case-activity-api,0,0,0,0,0,0,44.4,455,419,419,0,0,0,80,3000,117,3000,556.5,429163,30,365,69,3.25892857142857,0.235494880546075,0,1,1,1,2
